"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","110","152","1,338","12.2","52","19","12","2","5","0","1","17","206.3","12.1","96.2%"
"2","George Kittle (SF)","60","86","765","12.8","54","12","11","0","0","0","1","15","140.5","9.4","99.2%"
"3","Taysom Hill (NO)","9","13","77","8.6","30","1","2","96","575","7","0","16","136.8","8.6","6.7%"
"4","T.J. Hockenson (MIN)","86","129","914","10.6","81","5","6","0","0","0","1","17","129.4","7.6","95.6%"
"5","Mark Andrews (BAL)","73","113","847","11.6","36","7","5","3","8","0","0","15","117.5","7.8","94.0%"
"6","Evan Engram (DEN)","73","98","766","10.5","36","10","4","2","13","0","0","17","103.9","6.1","88.0%"
"7","Cole Kmet (CHI)","50","69","544","10.9","50","6","7","2","9","0","0","17","97.3","5.7","10.3%"
"8","Juwan Johnson (NO)","42","65","508","12.1","41","8","7","0","0","0","0","16","92.8","5.8","8.9%"
"9","Dawson Knox (BUF)","48","65","517","10.8","45","8","6","0","0","0","0","15","87.7","5.8","2.9%"
"10","Dallas Goedert (PHI)","55","69","702","12.8","31","11","3","0","0","0","1","12","86.2","7.2","76.9%"
"11","Dalton Schultz (HOU)","57","89","577","10.1","30","5","5","0","0","0","1","15","85.7","5.7","12.1%"
"12","Pat Freiermuth (PIT)","63","98","732","11.6","57","9","2","0","0","0","0","15","85.2","5.7","23.9%"
"13","David Njoku (CLE)","58","80","628","10.8","38","8","4","2","-8","0","1","14","84.0","6.0","90.6%"
"14","Gerald Everett (FA)","58","87","555","9.6","26","4","4","1","0","0","0","15","81.5","5.4","1.4%"
"15","Tyler Higbee (LAR)","72","108","620","8.6","26","4","3","0","0","0","0","16","80.0","5.0","8.1%"
"16","Jordan Akins (FA)","37","54","495","13.4","46","8","5","0","0","0","1","15","79.5","5.3","1.0%"
"17","Tyler Conklin (LAC)","58","87","552","9.5","30","6","3","2","3","0","0","17","73.5","4.3","5.7%"
"18","Noah Fant (CIN)","50","63","486","9.7","51","4","4","0","0","0","0","17","72.6","4.3","6.4%"
"19","Zach Ertz (WAS)","47","69","406","8.6","32","2","4","0","0","0","0","10","68.6","6.9","42.6%"
"20","Mike Gesicki (CIN)","32","52","362","11.3","32","5","5","0","0","0","0","17","66.2","3.9","19.3%"
"21","Chig Okonkwo (TEN)","32","46","450","14.1","48","7","3","3","2","0","0","17","65.2","3.8","18.4%"
"22","Hunter Henry (NE)","41","59","509","12.4","39","10","2","0","0","0","0","16","62.9","3.9","46.6%"
"23","Robert Tonyan (KC)","53","67","470","8.9","24","5","2","0","0","0","0","17","59.0","3.5","0.0%"
"24","Darren Waller (MIA)","28","43","388","13.9","34","9","3","0","0","0","0","9","56.8","6.3","20.1%"
"25","Austin Hooper (NE)","41","60","444","10.8","24","2","2","0","0","0","0","17","56.4","3.3","2.4%"
"26","Hayden Hurst (FA)","54","70","439","8.1","29","5","2","0","0","0","0","14","55.9","4.0","1.3%"
"27","Isaiah Likely (BAL)","36","60","373","10.4","34","4","3","0","0","0","0","15","55.3","3.7","33.9%"
"28","Greg Dulcich (NYG)","33","55","411","12.5","39","6","2","0","0","0","0","10","53.1","5.3","5.8%"
"29","Will Dissly (LAC)","34","38","349","10.3","38","1","3","0","0","0","0","15","52.9","3.5","3.4%"
"30","Foster Moreau (NO)","33","54","420","12.7","33","7","2","0","2","0","1","14","52.2","3.7","0.9%"
"31","Cade Otton (TB)","42","65","391","9.3","35","4","2","0","0","0","0","16","51.1","3.2","21.1%"
"32","Jelani Woods (IND)","25","40","312","12.5","36","4","3","0","0","0","0","14","49.2","3.5","3.9%"
"33","Kyle Pitts Sr. (ATL)","28","59","356","12.7","33","5","2","0","0","0","0","10","47.6","4.8","63.1%"
"34","Brock Wright (DET)","18","24","216","12.0","51","3","4","0","0","0","0","16","45.6","2.9","0.6%"
"35","Daniel Bellinger (NYG)","30","35","268","8.9","24","2","2","1","2","1","1","12","45.0","3.8","1.1%"
"36","Colby Parkinson (LAR)","25","34","322","12.9","39","5","2","0","0","0","0","14","44.2","3.2","1.1%"
"37","Noah Gray (KC)","28","34","299","10.7","27","3","1","1","1","1","0","17","42.0","2.5","6.9%"
"38","MyCole Pruitt (FA)","16","21","150","9.4","29","2","4","0","0","0","0","10","39.0","3.9","1.0%"
"39","Logan Thomas (FA)","39","61","323","8.3","27","2","1","0","0","0","0","13","38.3","2.9","0.0%"
"40","C.J. Uzomah (FA)","21","27","232","11.0","40","4","2","0","0","0","0","14","35.2","2.5","0.0%"
"41","Mo Alie-Cox (IND)","19","28","189","9.9","34","1","3","0","0","0","1","14","34.9","2.5","0.6%"
"42","Tommy Tremble (CAR)","19","32","174","9.2","29","1","3","0","0","0","1","16","33.4","2.1","0.6%"
"43","Trey McBride (ARI)","29","39","265","9.1","29","3","1","0","0","0","0","14","32.5","2.3","99.2%"
"44","Harrison Bryant (PHI)","31","42","239","7.7","30","1","1","1","8","0","0","14","30.7","2.2","0.0%"
"45","Irv Smith Jr. (HOU)","25","36","182","7.3","17","0","2","0","0","0","0","8","30.2","3.8","0.0%"
"46","Kylen Granson (PHI)","31","40","302","9.7","32","3","0","1","0","0","0","13","30.2","2.3","0.7%"
"47","Shane Zylstra (DET)","11","15","60","5.5","14","0","4","0","0","0","0","11","30.0","2.7","1.1%"
"48","Jake Ferguson (DAL)","19","22","174","9.2","30","3","2","0","0","0","0","13","29.4","2.3","68.7%"
"49","Peyton Hendershot (FA)","11","16","103","9.4","29","2","2","1","2","1","0","12","28.5","2.4","0.0%"
"50","Josh Oliver (MIN)","14","25","149","10.6","40","1","2","0","0","0","0","12","26.9","2.2","1.1%"
"51","Adam Trautman (DEN)","18","22","207","11.5","22","2","1","0","0","0","0","13","26.7","2.1","0.7%"
"52","O.J. Howard (FA)","10","23","145","14.5","26","4","2","0","0","0","0","11","26.5","2.4","0.0%"
"53","Durham Smythe (CHI)","15","20","129","8.6","26","1","1","2","1","1","0","13","25.0","1.9","0.6%"
"54","Jonnu Smith (PIT)","27","38","245","9.1","53","3","0","1","5","0","0","12","25.0","2.1","62.9%"
"55","Connor Heyward (PIT)","12","17","151","12.6","45","2","1","2","27","0","0","17","23.8","1.4","0.0%"
"56","Teagan Quitoriano (ATL)","7","14","113","16.1","52","2","2","0","0","0","0","7","23.3","3.3","0.0%"
"57","Jody Fortson Jr. (FA)","9","13","108","12.0","40","2","2","0","0","0","1","10","20.8","2.1","0.0%"
"58","Eric Saubert (SEA)","15","24","148","9.9","25","3","1","0","0","0","0","14","20.8","1.5","1.8%"
"59","Marcedes Lewis (FA)","6","7","66","11.0","31","1","2","0","0","0","0","6","20.6","3.4","0.0%"
"60","Johnny Mundt (JAC)","19","21","140","7.4","17","0","1","0","0","0","0","13","20.0","1.5","0.1%"
"61","Eric Tomlinson (FA)","9","13","79","8.8","18","0","2","0","0","0","0","9","19.9","2.2","0.0%"
"62","Mitchell Wilcox (MIA)","17","18","139","8.2","19","0","1","0","0","0","0","9","19.9","2.2","0.0%"
"63","Ian Thomas (LV)","21","30","197","9.4","50","1","0","0","0","0","0","14","19.7","1.4","0.1%"
"64","Donald Parham Jr. (PIT)","10","12","130","13.0","24","2","1","0","0","0","0","6","19.0","3.2","1.0%"
"65","Cameron Brate (FA)","20","38","174","8.7","21","1","0","0","0","0","0","9","17.4","1.9","2.0%"
"66","James Mitchell (CAR)","11","11","113","10.3","22","2","1","0","0","0","0","8","17.3","2.2","0.0%"
"67","John Bates (WAS)","14","22","108","7.7","20","1","1","0","0","0","0","10","16.8","1.7","0.6%"
"68","Ross Dwelley (SF)","3","5","105","35.0","56","2","1","0","0","0","0","6","16.5","2.8","0.0%"
"69","Albert Okwuegbunam Jr. (LV)","10","18","95","9.5","25","1","1","0","0","0","0","6","15.5","2.6","0.0%"
"70","Ko Kieft (TB)","7","10","80","11.4","19","0","1","0","0","0","0","15","14.0","0.9","0.0%"
"71","Dan Arnold (FA)","9","13","135","15.0","26","3","0","0","0","0","0","11","13.5","1.2","0.0%"
"72","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","13.2","2.2","1.2%"
"73","Zach Gentry (FA)","19","23","132","6.9","32","2","0","0","0","0","0","14","13.2","0.9","0.0%"
"74","Brevin Jordan (HOU)","14","28","128","9.1","20","2","0","0","0","0","0","9","12.8","1.4","0.6%"
"75","Chris Myarick (MIA)","7","8","65","9.3","23","1","1","0","0","0","0","10","12.5","1.3","0.0%"
"76","Quintin Morris (JAC)","8","11","84","10.5","26","1","1","0","0","0","1","9","12.4","1.4","1.4%"
"77","Jack Stoll (NO)","11","14","123","11.2","26","2","0","0","0","0","0","10","12.3","1.2","0.0%"
"78","Geoff Swaim (FA)","12","16","58","4.8","13","0","1","0","0","0","0","12","11.8","1.0","0.0%"
"79","Pharaoh Brown (MIA)","12","20","117","9.8","30","1","0","0","0","0","0","9","11.7","1.3","0.1%"
"80","Josiah Deguara (ARI)","13","15","114","8.8","25","1","0","0","0","0","0","9","11.4","1.3","0.0%"
"81","Brycen Hopkins (FA)","7","11","109","15.6","22","2","0","0","0","0","0","7","10.9","1.6","0.0%"
"82","Anthony Firkser (FA)","9","13","100","11.1","22","1","0","0","0","0","0","8","10.0","1.3","0.0%"
"83","Giovanni Ricci (MIN)","8","9","100","12.5","32","1","0","0","0","0","0","11","10.0","0.9","0.0%"
"84","Armani Rogers (FA)","5","6","64","12.8","23","1","0","2","26","0","0","9","9.0","1.0","1.0%"
"85","Parker Hesse (FA)","9","11","89","9.9","22","1","0","0","0","0","0","12","8.9","0.7","0.0%"
"86","Kyle Rudolph (FA)","3","5","28","9.3","12","0","1","0","0","0","0","5","8.8","1.8","1.0%"
"87","Grant Calcaterra (PHI)","5","9","81","16.2","40","1","0","0","0","0","0","7","8.1","1.2","1.1%"
"88","Blake Bell (FA)","2","2","20","10.0","17","0","1","0","0","0","0","2","8.0","4.0","0.0%"
"89","Tre' McKitty (FA)","10","18","72","7.2","12","0","0","0","0","0","0","13","7.2","0.6","0.0%"
"90","Andrew Beck (NYJ)","5","11","69","13.8","27","2","0","2","0","0","0","9","6.9","0.8","0.0%"
"91","Tyler Mabry (CAR)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","0.0%"
"92","Tyler Kroft (FA)","4","5","57","14.3","28","1","0","0","0","0","0","6","5.7","1.0","0.0%"
"93","Nick Vannett (MIN)","6","9","55","9.2","15","0","0","0","0","0","0","7","5.5","0.8","0.0%"
"94","Charlie Kolar (BAL)","4","6","49","12.3","15","0","0","0","0","0","0","1","4.9","4.9","0.1%"
"95","Trevon Wesco (FA)","2","4","26","13.0","23","1","0","0","0","0","0","6","4.6","0.8","0.0%"
"96","Stephen Sullivan (FA)","2","6","46","23.0","33","1","0","0","0","0","0","9","4.6","0.5","0.0%"
"97","Chris Manhertz (NYG)","6","8","42","7.0","21","1","0","0","0","0","0","8","4.2","0.5","0.0%"
"98","Luke Farrell (SF)","4","4","40","10.0","15","0","0","0","0","0","0","4","4.0","1.0","0.6%"
"99","Kendall Blanton (FA)","2","2","35","17.5","28","1","0","0","0","0","0","2","3.5","1.8","0.0%"
"100","Ryan Griffin (FA)","4","8","26","6.5","18","0","0","0","0","0","0","10","2.6","0.3","0.0%"
"101","Ben Ellefson (FA)","3","3","26","8.7","12","0","0","0","0","0","0","2","2.6","1.3","0.0%"
"102","Tyler Davis (FA)","4","7","26","6.5","23","1","0","0","0","0","0","11","2.6","0.2","0.0%"
"103","Cole Turner (WAS)","2","9","23","11.5","18","0","0","0","0","0","0","7","2.3","0.3","1.0%"
"104","Jesper Horsted (FA)","3","4","19","6.3","9","0","0","0","0","0","0","5","1.9","0.4","0.0%"
"105","Maxx Williams (FA)","3","3","18","6.0","7","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"106","Stone Smartt (NYJ)","4","5","17","4.3","8","0","0","0","0","0","0","3","1.7","0.6","1.5%"
"107","Sean McKeon (IND)","2","3","11","5.5","10","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"108","Stephen Anderson (FA)","3","7","9","3.0","6","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"109","Jeremy Ruckert (NYJ)","1","2","8","8.0","8","0","0","0","0","0","0","3","0.8","0.3","0.7%"
"110","Tommy Sweeney (FA)","1","1","7","7.0","7","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"111","Mason Schreck (FA)","2","2","6","3.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"112","Jacob Harris (TB)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"113","Devin Asiasi (FA)","2","4","5","2.5","6","0","0","0","0","0","0","5","0.5","0.1","0.0%"
"114","Richard Rodgers (FA)","1","4","4","4.0","4","0","0","0","0","0","0","3","0.4","0.1","0.0%"
"115","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"116","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"117","Miller Forristall (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Feleipe Franks (ATL)","0","2","0","0","0","0","0","1","0","0","0","7","0.0","0.0","0.0%"
"119","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"120","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Charlie Woerner (ATL)","0","2","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"122","Noah Togiai (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Lawrence Cager (WAS)","13","19","118","9.1","20","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"124","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"125","Nikola Kalinic (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Austin Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"127","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Jake Tonges (SF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"131","N'Keal Harry (FA)","7","9","116","16.6","49","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"132","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"133","Kevin Rader (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"134","Nick Boyle (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"135","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.5%"
"136","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"138","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"139","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"140","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"141","Drew Sample (CIN)","2","2","-2","-1.0","2","0","0","0","0","0","0","2","-0.2","-0.1","0.6%"
""
""